KNN Line Recall scores
KNN k=36: [np.float64(0.5688545688545688), np.float64(0.7071216854922695), np.float64(0.668388429752066), np.float64(0.7190917147320356), np.float64(0.7333470906343128), np.float64(0.7687632904721365), np.float64(0.7446563632772563), np.float64(0.7424276366603028), np.float64(0.7418870102929237), np.float64(0.725781452385634), np.float64(0.7276682869238178), np.float64(0.7006524974243523), np.float64(0.7035962539192576), np.float64(0.7059203603449179), np.float64(0.684010543267357), np.float64(0.702986625484981), np.float64(0.6895017764842531), np.float64(0.561039639487515), np.float64(0.427297089634752)]
KNN k=37: [np.float64(0.5688545688545688), np.float64(0.6798952457695407), np.float64(0.6839340434846052), np.float64(0.7190917147320356), np.float64(0.7424631054607636), np.float64(0.7644090893733319), np.float64(0.7525780189959295), np.float64(0.7396081501820609), np.float64(0.7411914206721275), np.float64(0.7315332541189217), np.float64(0.7276682869238178), np.float64(0.6999639259913233), np.float64(0.704597041147261), np.float64(0.7101639541546494), np.float64(0.6769156319538081), np.float64(0.6849104462900982), np.float64(0.6857250603092165), np.float64(0.5797320487731445), np.float64(0.427297089634752)]
KNN k=38: [np.float64(0.5688545688545688), np.float64(0.7071216854922695), np.float64(0.6839340434846052), np.float64(0.7363314107185773), np.float64(0.7442728036990333), np.float64(0.7767987976939952), np.float64(0.7608511854260935), np.float64(0.7396081501820609), np.float64(0.735000439145423), np.float64(0.7315332541189217), np.float64(0.7222865455409098), np.float64(0.70388440607994), np.float64(0.6990343166434648), np.float64(0.7109300498521577), np.float64(0.6793174533589107), np.float64(0.6966456550789474), np.float64(0.6947603492403261), np.float64(0.5797320487731445), np.float64(0.427297089634752)]
KNN k=39: [np.float64(0.5688545688545688), np.float64(0.688058929956061), np.float64(0.7100539909528674), np.float64(0.7222287828688395), np.float64(0.7370339894930059), np.float64(0.7683331381961519), np.float64(0.7608511854260935), np.float64(0.7522945289068849), np.float64(0.7438192242182426), np.float64(0.7286777275322002), np.float64(0.7222865455409098), np.float64(0.7011398890469179), np.float64(0.7051944973435516), np.float64(0.6985001632228658), np.float64(0.6792799329152975), np.float64(0.6911332407258207), np.float64(0.6805638657648283), np.float64(0.6391293385998823), np.float64(0.427297089634752)]
KNN k=40: [np.float64(0.5688545688545688), np.float64(0.6937456759374567), np.float64(0.6839340434846052), np.float64(0.7293473457703318), np.float64(0.7333470906343128), np.float64(0.7767987976939952), np.float64(0.7672592360114778), np.float64(0.7455899660726797), np.float64(0.7381145114249591), np.float64(0.7286948138030772), np.float64(0.719553016732603), np.float64(0.6923832987448565), np.float64(0.6985771327379503), np.float64(0.6936195472112162), np.float64(0.6913858756788417), np.float64(0.6914877502634352), np.float64(0.6741494786450857), np.float64(0.6045388548702734), np.float64(0.427297089634752)]
KNN k=41: [np.float64(0.5688545688545688), np.float64(0.688058929956061), np.float64(0.7100539909528674), np.float64(0.7222287828688395), np.float64(0.7370339894930059), np.float64(0.780963805690994), np.float64(0.7635277609223301), np.float64(0.7491360286463755), np.float64(0.7411914206721275), np.float64(0.7371838644508008), np.float64(0.719553016732603), np.float64(0.6887161207731921), np.float64(0.7083599158105619), np.float64(0.701419965576592), np.float64(0.68888994350469), np.float64(0.6944951067896715), np.float64(0.6675109206989248), np.float64(0.6042186746103337), np.float64(0.427297089634752)]
KNN k=42: [np.float64(0.6040307548928239), np.float64(0.6937456759374567), np.float64(0.693698347107438), np.float64(0.7293473457703318), np.float64(0.7467753522357341), np.float64(0.780963805690994), np.float64(0.7531712682038836), np.float64(0.7421682012126657), np.float64(0.735000439145423), np.float64(0.7343945168025917), np.float64(0.7111613961034526), np.float64(0.6867019812225291), np.float64(0.6908839515939991), np.float64(0.6938234350364848), np.float64(0.6911900015244461), np.float64(0.6875009906034191), np.float64(0.6630026686239938), np.float64(0.5696276998067065), np.float64(0.427297089634752)]
KNN k=43: [np.float64(0.5688545688545688), np.float64(0.7071216854922695), np.float64(0.7007575757575757), np.float64(0.733270351125807), np.float64(0.76204591199446), np.float64(0.7725906226881968), np.float64(0.7702502649610569), np.float64(0.7423437413343686), np.float64(0.7325760307729294), np.float64(0.7371838644508008), np.float64(0.7184544820601736), np.float64(0.691536976452922), np.float64(0.6944152134837628), np.float64(0.701419965576592), np.float64(0.6794922068308324), np.float64(0.6856892392430565), np.float64(0.6729057441328216), np.float64(0.6042186746103337), np.float64(0.427297089634752)]
KNN k=44: [np.float64(0.6040307548928239), np.float64(0.6937456759374567), np.float64(0.7100539909528674), np.float64(0.7401590300740042), np.float64(0.76204591199446), np.float64(0.7600010203821331), np.float64(0.7387807478063689), np.float64(0.7351646595679774), np.float64(0.7261816540726033), np.float64(0.7286948138030772), np.float64(0.7128339260397174), np.float64(0.6926838952725441), np.float64(0.6886919605647083), np.float64(0.6913407359635046), np.float64(0.6817558892912542), np.float64(0.6797318969182703), np.float64(0.6722393629301854), np.float64(0.5696276998067065), np.float64(0.427297089634752)]
KNN k=45: [np.float64(0.5688545688545688), np.float64(0.7071216854922695), np.float64(0.7007575757575757), np.float64(0.733270351125807), np.float64(0.7519066876560635), np.float64(0.7600010203821331), np.float64(0.7559532752403846), np.float64(0.7282532016012468), np.float64(0.735000439145423), np.float64(0.7315657477248114), np.float64(0.7128339260397174), np.float64(0.6876263193352795), np.float64(0.6944152134837628), np.float64(0.6993130598963565), np.float64(0.6843973841453689), np.float64(0.6843708689841514), np.float64(0.6794364964922798), np.float64(0.6042186746103337), np.float64(0.427297089634752)]
KNN k=46: [np.float64(0.6040307548928239), np.float64(0.6937456759374567), np.float64(0.71900826446281), np.float64(0.7580892772791686), np.float64(0.7570193740685544), np.float64(0.7600010203821331), np.float64(0.7492705868579317), np.float64(0.7215921850437906), np.float64(0.7261816540726033), np.float64(0.7228144819770563), np.float64(0.7099677546061586), np.float64(0.6897844661744742), np.float64(0.6944152134837628), np.float64(0.6938234350364848), np.float64(0.6770895162120025), np.float64(0.6845221094368451), np.float64(0.679353581901969), np.float64(0.5696276998067065), np.float64(0.427297089634752)]
KNN k=47: [np.float64(0.5688545688545688), np.float64(0.6798952457695407), np.float64(0.7100539909528674), np.float64(0.733270351125807), np.float64(0.7519066876560635), np.float64(0.7687632904721365), np.float64(0.7597604259094941), np.float64(0.7215921850437906), np.float64(0.7381145114249591), np.float64(0.7290123789292243), np.float64(0.7041124998155499), np.float64(0.6968170829975826), np.float64(0.7026783460631103), np.float64(0.7021301827776872), np.float64(0.6796326442532485), np.float64(0.6828787508153947), np.float64(0.6813561550052758), np.float64(0.6042186746103337), np.float64(0.427297089634752)]
KNN k=48: [np.float64(0.6040307548928239), np.float64(0.7071216854922695), np.float64(0.7100539909528674), np.float64(0.7401590300740042), np.float64(0.7570193740685544), np.float64(0.77733499377335), np.float64(0.7468010222381636), np.float64(0.7253072038895043), np.float64(0.722113895738946), np.float64(0.7197985436157786), np.float64(0.717492669425338), np.float64(0.6894397332753498), np.float64(0.6982202748025533), np.float64(0.7025675828526184), np.float64(0.6773797714424872), np.float64(0.679591708953111), np.float64(0.682382373894933), np.float64(0.5696276998067065), np.float64(0.427297089634752)]
KNN k=49: [np.float64(0.5688545688545688), np.float64(0.7151490733279613), np.float64(0.7277777777777777), np.float64(0.7401590300740042), np.float64(0.7519066876560635), np.float64(0.7644090893733319), np.float64(0.7531712682038836), np.float64(0.7253072038895043), np.float64(0.7345614196678026), np.float64(0.7347381077064379), np.float64(0.717492669425338), np.float64(0.691035409329709), np.float64(0.7093200875928004), np.float64(0.7021301827776872), np.float64(0.6749236251518417), np.float64(0.6789417533552681), np.float64(0.7048489921508599), np.float64(0.6042186746103337), np.float64(0.427297089634752)]
KNN k=50: [np.float64(0.5688545688545688), np.float64(0.7277985332779854), np.float64(0.7277777777777777), np.float64(0.7580892772791686), np.float64(0.7519066876560635), np.float64(0.7520193810526684), np.float64(0.742814775485437), np.float64(0.7253072038895043), np.float64(0.7153653440558835), np.float64(0.7197985436157786), np.float64(0.7202790175172652), np.float64(0.6909430116256974), np.float64(0.7083267224880477), np.float64(0.7011504428126644), np.float64(0.672309944831826), np.float64(0.6746206837742192), np.float64(0.714676250006644), np.float64(0.6042186746103337), np.float64(0.427297089634752)]
KNN k=51: [np.float64(0.5688545688545688), np.float64(0.7151490733279613), np.float64(0.7277777777777777), np.float64(0.733270351125807), np.float64(0.7519066876560635), np.float64(0.7520193810526684), np.float64(0.7570301291248207), np.float64(0.7318801931282282), np.float64(0.7196110148587241), np.float64(0.7257787761774019), np.float64(0.7070613988026966), np.float64(0.6850684778892877), np.float64(0.7154284981183716), np.float64(0.6981120680193071), np.float64(0.6724414011877845), np.float64(0.6811920509602983), np.float64(0.7282417636372563), np.float64(0.6391293385998823), np.float64(0.427297089634752)]
